DISTRITO_L,DISTRITO LOCAL,MOVIMIENTO CIUDADANO,PARTIDO SONORENSE,FUERZA Y CORAZóN POR SONORA,"MORENA,PT,PVEM,NAS,PES","PAN,PRI,PRD",PAN,PRI,PRD,MORENA
1,1 SAN LUIS RÍO COLORADO,HIRAM LOMELI DUARTE,ISAAC CHAVEZ HEREDIA,JUAN PABLO ARENIVAR MARTINEZ,SANTOS GONZALEZ YESCAS,,,,,
2,2 PUERTO PEÑASCO,HERME DAMIAN VELAZQUEZ LOPEZ,DANIEL CONTRERAS RUIZ,,RUBEN REFUGIO GONZALEZ AGUAYO,VIRGEN MARIA ZEPEDA MARTINEZ,,,,
3,3 CABORCA,NORMA PATRICIA VALENZUELA CELAYA,CARLOS IDELFONSO ALVAREZ VELAZCO,LUIS ALFREDO BERNAL AINZA,MARIA ALICIA GAYTAN SANCHEZ,,,,,
4,4 NOGALES,IVONNE CLARISA RUIZ ROBLES,AIDEE CASTRO LOPEZ,CELESTE JANETH BOJORQUEZ QUIÑONEZ,AZALIA GUEVARA ESPINOZA,,,,,
5,5 NOGALES,MARTINA ESMEDA ENRIQUEZ ALCANTAR,ALBERTO ROMAN ARIAS,JOSE ARMANDO GUTIERREZ JIMENEZ,MARCELA VALENZUELA NEVAREZ,,,,,
6,6 HERMOSILLO,BEATRIZ CAROLINA GUERRERO CARRAZCO,ROBERTO MURRIETA TAPIA,ZAIRA FERNANDEZ MORALES,DAVID FIGUEROA ORTEGA,,,,,
7,7 AGUA PRIETA,JESUS JULIAN LORETO FIMBRES,SANTIAGO NAVARRO MERAZ,PALOMA MARIA TERAN VILLALOBOS,PALOMA MARIA TERAN VILLALOBOS,,CELINA NORIEGA MONTAÑO,ANDREA CELESTE RAMOS EVIREZ,MARISELA PEREA SAENZ,
8,8 HERMOSILLO,MANUEL LIRA VALENZUELA,MARÍA AZUCENA MURILLO BUZANI,LUIS ALBERTO ESTEVANE HERNANDEZ,ELIA SAHARA SALLARD HERNANDEZ,,,,,
9,9 HERMOSILLO,MARIO DIAZ GARDUÑO,MARTHA AZUCENA CORRALES BUJANDA,,OSCAR ORTIZ ARVAYO,LUIS MIGUEL VARGAS DELGADO,,,,
10,10 HERMOSILLO,MAURO LOPEZ MEXIA,JESUS ANTONIO LUCENILLA QUINTERO,ALEJANDRA LOPEZ NORIEGA,NORBERTO BARRAZA ALMAZAN,,,,,
11,11 HERMOSILLO,JOB LEONEL GAXIOLA QUIROZ,CESAR OSVALDO CAMACHO SALAZAR,ISELA MONTES DE OCA TAPIA,MARIA EDUWIGES ESPINOZA TAPIA,,,,,
12,12 HERMOSILLO,MIRNA LUCERO MARTINEZ MORALES,MARIA FERNANDA CALVO LEYVA,,RENE EDMUNDO GARCIA ROJO,DANIEL GARCIA ESCALANTE,,,,
13,13 GUAYMAS,FRANCISCO JAVIER PONCE VAZQUEZ,ZULMA PAOLA MUDECI MAGAÑA,OTTO GUILLERMO CLAUSEN IBERRI,SEBASTIAN ANTONIO ORDUÑO FRAGOZA,,,,,
14,14 EMPALME,DENISSE GISEL HERNANDEZ SANTOS,ELVA ZENORINA SOTO OCHOA,JESUS SALDAÑA LOPEZ,REBECA IRENE SILVA GALLARDO,,,,,
15,15 CD. OBREGÓN,JOSE DANIEL HERALDEZ BOJORQUEZ,ANA LILIA HERNANDEZ LOPEZ,ROSARIO ALEJANDRINA QUIJADA CAZAREZ,ERNESTINA CASTRO VALENZUELA,,,,,
16,16 CD. OBREGÓN,ALFONSO ONOFRE MUÑOZ PEÑA,ESPERANZA ISLAS VAZQUEZ,KARMEN AIDA DIAZ BROWN OJEDA,DENI GASTELUM BARRERAS,,,,,
17,17 CD. OBREGÓN,NYDIA ELOISA RASCON RUIZ,ADALBERTO MENDOZA RIVERA,RODOLFO VERDUZCO HERNANDEZ,HECTOR RAUL CASTELO MONTAÑO,,,,,
18,18 CANANEA,PERLA CORINA DEL CARMEN PADILLA BONILLAS,LIZBETH NATALIA BRAMBILA PADILLA,,FERMIN TRUJILLO FUENTES,,FRANCISCO GARCIA GAMEZ,JESUS ALEJANDRO CORRALES FELIX,ERNESTO GARCIA MORENO,
19,19 NAVOJOA,EDUARDO GAXIOLA APODACA,JESUS GUILLERMO RUIZ CAMPOY,,PROSPERO VALENZUELA MUÑER,ANA MARIA LUISA VALDES AVILES,,,,
20,20 ETCHOJOA,JESUS SEVERO OSUNA CAMPOY,JOSE MARIA MENDOZA VALENCIA,BLASA FELIX CASTILLO,,,,,,JESUS TADEO MENDIVIL VALENZUELA
21,21 HUATABAMPO,LETICIA ANTONIA LOPEZ SANCHEZ,BEATRIZ ELENA VALENZUELA PALMA,VICTOR MANUEL BALDERRAMA CARDENAS,CLAUDIA ZULEMA BOURS CORRAL,,,,,
